English,French
a,quelqu'un
abdomen,ventre
aberration,erreur
able,valide
about,concernant
above,dessus
abroad,dehors
abrupt,imprévu
absent,absent
abuse,défaut
accent,emphase
accept,agréer
acceptance,supposition
accident,accident
accompany,accompagnez
accomplish,confectionner
accordion,accordéon
account,supputation
acid,aigre
across,en écharpe
act,agissez
action,action
actor,acteur
ad,annonce
add,rajouter
address,laïus
advertisement,réclame
advice,conseil
advise,avisent
aeroplane,avion
affair,affaire
after,après
afternoon,après-midi
afterwards,puis
again,de nouveau
against,en retour
age,viellir
ahead,autrefois
aid,aider
air,souffle
ale,bière
alien,hideux
all,toute
almost,-
alone,seul
already,déjà
also,aussi
amount,nombre
and,et
angel,ange
animal,bête
answer,réponse
apple,pomme
approximately,environ
april,avril
arm,armez
art,artistique
article,article
ash,frêne
ask,demandons
asparagus,asperge
ass,aliboron
assist,assister
at present,momentané
attack,attaquent
attempt,démarche
attend,visiter
autumn,automnal
average,moyenne
avoid,évitons
baby,bébé
back,foncierère
bacon,lard
bad,mauvais
bag,fouille
bank,bord
bark,écorce
basket,panier
beach,plage
beak,bec
bear,endurer
beard,barbe
beautiful,beau
bed,planche
bee,abeille
beer,bière
before,avant de
behind,arrière
below,dessous
beneath,sous
bicycle,bécane
big,mailloche
bill,bec
bird,oiseau
bitter,amer
black,noir
blame,blâme
blank,formulaire
blind,aveugle
blood,sang
bloom,fleur
blue,bleu
boat,canot
body,corps
bold,gros
bone,os
book,commander
bosom,sein
boss,dabe
bottle,flacon
bowl,globuleux
box,loge
boy,serviteur
brain,cervelle
branch,filiale
brave,brave
bread,pain
break,rompons
breast,sein
bridge,carpette
broad,large
brother,frère
brush,brosse
bucket,seau
building,édification
burden,accablement
burn,s'allumer
business,affaire
but,pourtant
butcher,boucher
butter,beurre
bye,adieu
cabbage,chou
cabin,hutte
call,appel
candle,bougie
capable,capable
capture,capturez
carry,remportent
case,affaire
cat,chat
catch,attrapez
caution,circonspection
chain,enchaîner
chair,siège
chalk,crétacé
chamber,ventricule
change,changement
character,caractère
charge,chargeons
cheap,bon marché
cheese,fromage
cherry,cerise
chest,sein
chicken,poulet
chief,dabe
child,enfant
church,église
cigarette,sèche
circle,cercle
city,cité
class,cours
clay,glaise
clean,nettoyent
clear,net
clerk,employée
client,client
climate,climat
clock,horloge
clothes,vêture
cloud,nue
cold,froid
collect,recueillir
colour,-
comb,peigne
common,couramment
complete,clôturer
condition,conditionner
conduct,amenent
consent,acquiescez
consider,envisagent
cook,cuisiner
copper,cuivre
copy,calquer
cord,corde
correct,corrigent
counsel,conseiller
country,contrée
